1971-72,Tottenham Hotspur,2–1 1-1,Wolverhampton Wanderers,England,Molineux, Wolverhampton, England	45,000
2010-11,Porto,1–0,Braga,Lansdowne Road Stadium, Dublin, Ireland	45,391
2011-12,Atlético Madrid,3–0,Athletic Bilbao,Arena Națională, Bucharest, Romania	52,347
2012-13,Chelsea,2–1,Benfica,Amsterdam Arena, Amsterdam, Netherlands	46,163
2013-14,Sevilla,0–0,Benfica,Juventus Stadium, Turin, Italy	33,120
2014-15,Sevilla,3–2,Dnipro Dnipropetrovsk,National Stadium, Warsaw, Poland	45,000
2015-16,Sevilla,3–1,Liverpool, St. Jakob-Park, Basel, Switzerland	34,429
2016-17,Manchester United,2–0,Ajax,Friends Arena, Solna, Sweden	46,961
2017-18,Atlético Madrid,3–0,Marseille,Parc Olympique Lyonnais, Décines-Charpieu, France	55,768
2018-19,Chelsea,4–1,Arsenal,Olympic Stadium, Baku, Azerbaijan	51,370
2019-20,Sevilla,3–2,Inter Milan,RheinEnergieStadion,Cologne, Germany	0
2020-21,DUMMY,3–2,DUMMY,RheinEnergieStadion,Cologne, Germany	0
